num,combo,rep,seed,tag,tagseq,水果_mode,水果_cell,水果_cx,水果_cy,水果_ang,水果_z,水果_pitch,水果_roll,水果_color,水果_w,水果_h,盘子_mode,盘子_cell,盘子_cx,盘子_cy,盘子_ang,盘子_z,盘子_pitch,盘子_roll,盘子_color,盘子_w,盘子_h
1,6,1,42,,,sweep,A,15.68,37.77,-98.97,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,19.42,10.71,53.19,0.00,0.00,0.00,#3498DB,15.00,15.00
2,177,3,42,,,sweep,J,60.25,38.97,-34.36,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,O,75.67,13.37,82.44,0.00,0.00,0.00,#3498DB,15.00,15.00
3,24,3,42,,,sweep,B,13.54,26.24,129.42,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,27.22,13.41,56.75,0.00,0.00,0.00,#3498DB,15.00,15.00
4,77,3,42,,,sweep,E,26.78,26.35,-9.16,1.05,0.00,0.00,#F39C12,5.00,5.00,sweep,E,27.56,20.15,179.88,0.00,0.00,0.00,#3498DB,15.00,15.00
5,279,3,42,,,sweep,P,93.95,30.25,-162.75,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,I,52.91,13.06,-126.62,0.00,0.00,0.00,#3498DB,15.00,15.00
6,78,2,42,,,sweep,E,29.56,16.56,-52.48,1.05,0.00,0.00,#F39C12,5.00,5.00,sweep,F,29.90,12.94,-144.62,0.00,0.00,0.00,#3498DB,15.00,15.00
7,181,1,42,,,sweep,K,60.18,26.85,-165.59,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,A,12.90,32.78,95.29,0.00,0.00,0.00,#3498DB,15.00,15.00
8,81,3,42,,,sweep,E,27.90,24.48,16.32,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,I,49.24,12.59,-2.70,0.00,0.00,0.00,#3498DB,15.00,15.00
9,299,3,42,,,sweep,Q,93.64,29.86,-60.55,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,K,56.32,21.11,88.27,0.00,0.00,0.00,#3498DB,15.00,15.00
10,18,2,42,,,sweep,A,15.10,38.14,-59.76,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,R,99.01,14.54,7.27,0.00,0.00,0.00,#3498DB,15.00,15.00
11,107,1,42,,,sweep,F,26.83,3.25,95.82,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,99.68,28.16,-174.30,0.00,0.00,0.00,#3498DB,15.00,15.00
12,212,2,42,,,sweep,L,68.74,14.77,-96.11,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,N,89.17,20.45,177.60,0.00,0.00,0.00,#3498DB,15.00,15.00
13,276,3,42,,,sweep,P,102.06,34.01,177.25,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,35.42,11.06,59.14,0.00,0.00,0.00,#3498DB,15.00,15.00
14,231,3,42,,,sweep,M,80.71,30.64,50.21,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,O,75.37,14.93,87.62,0.00,0.00,0.00,#3498DB,15.00,15.00
15,233,1,42,,,sweep,M,87.80,35.25,20.52,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,99.25,15.69,-68.86,0.00,0.00,0.00,#3498DB,15.00,15.00
16,78,1,42,,,sweep,E,22.60,24.78,109.06,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,26.46,9.23,97.71,0.00,0.00,0.00,#3498DB,15.00,15.00
17,125,1,42,,,sweep,G,50.20,41.18,-28.68,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,91.94,19.60,81.75,0.00,0.00,0.00,#3498DB,15.00,15.00
18,198,1,42,,,sweep,K,69.58,29.20,-97.75,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,R,94.58,14.32,-81.05,0.00,0.00,0.00,#3498DB,15.00,15.00
19,108,1,42,,,sweep,F,28.83,5.91,21.98,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,R,97.85,13.28,-30.78,0.00,0.00,0.00,#3498DB,15.00,15.00
20,154,1,42,,,sweep,I,40.10,8.25,56.59,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,J,61.89,35.36,84.74,0.00,0.00,0.00,#3498DB,15.00,15.00
21,116,1,42,,,sweep,G,45.80,34.62,33.31,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,H,48.50,16.27,153.68,0.00,0.00,0.00,#3498DB,15.00,15.00
22,107,3,42,,,sweep,F,33.54,7.91,6.35,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,94.79,20.38,-145.20,0.00,0.00,0.00,#3498DB,15.00,15.00
23,63,2,42,,,sweep,D,19.77,33.52,89.35,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,I,50.80,9.22,90.47,0.00,0.00,0.00,#3498DB,15.00,15.00
24,215,3,42,,,sweep,L,58.60,6.51,-114.59,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,94.08,18.28,81.97,0.00,0.00,0.00,#3498DB,15.00,15.00
25,106,1,42,,,sweep,F,23.92,4.45,12.12,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,P,92.90,34.20,142.91,0.00,0.00,0.00,#3498DB,15.00,15.00
26,219,2,42,,,sweep,M,75.08,30.51,-175.64,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,C,14.71,12.95,-87.44,0.00,0.00,0.00,#3498DB,15.00,15.00
27,52,1,42,,,sweep,C,6.73,3.29,11.21,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,P,95.17,30.80,-56.08,0.00,0.00,0.00,#3498DB,15.00,15.00
28,53,2,42,,,sweep,C,6.36,13.05,67.92,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,92.95,27.19,138.04,0.00,0.00,0.00,#3498DB,15.00,15.00
29,300,2,42,,,sweep,Q,96.54,23.72,-29.77,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,L,59.56,14.11,19.84,0.00,0.00,0.00,#3498DB,15.00,15.00
