num,combo,rep,seed,tag,tagseq,保鲜盒_obj,保鲜盒_mode,保鲜盒_cell,保鲜盒_cx,保鲜盒_cy,保鲜盒_ang,保鲜盒_z,保鲜盒_pitch,保鲜盒_roll,保鲜盒_color,保鲜盒_w,保鲜盒_h
1,15,2,42,,,保鲜盒#144d11b9-4150-48cc-93a2-7be151f3cd7b,sweep,O,83.37,11.08,11.12,0.00,0.00,0.00,,17.00,11.50
2,7,1,42,,,保鲜盒#c9a7a7cb-1e22-46ed-aa61-3028ab61e2a0,sweep,G,50.28,33.76,-67.83,0.00,0.00,0.00,,15.00,15.00
3,5,1,42,,,保鲜盒#144d11b9-4150-48cc-93a2-7be151f3cd7b,sweep,E,35.34,21.19,89.73,0.00,0.00,0.00,,17.00,11.50
4,9,2,42,,,保鲜盒#c9a7a7cb-1e22-46ed-aa61-3028ab61e2a0,sweep,I,50.33,14.19,-125.17,0.00,0.00,0.00,,15.00,15.00
5,11,3,42,,,保鲜盒#c9a7a7cb-1e22-46ed-aa61-3028ab61e2a0,sweep,K,61.19,15.52,81.47,0.00,0.00,0.00,,15.00,15.00
6,18,2,42,,,保鲜盒#c9a7a7cb-1e22-46ed-aa61-3028ab61e2a0,sweep,R,94.92,13.05,-9.93,0.00,0.00,0.00,,15.00,15.00
7,11,2,42,,,保鲜盒#144d11b9-4150-48cc-93a2-7be151f3cd7b,sweep,K,59.18,15.98,37.27,0.00,0.00,0.00,,17.00,11.50
8,12,1,42,,,保鲜盒#144d11b9-4150-48cc-93a2-7be151f3cd7b,sweep,L,62.01,12.41,58.45,0.00,0.00,0.00,,17.00,11.50
9,12,3,42,,,保鲜盒#c9a7a7cb-1e22-46ed-aa61-3028ab61e2a0,sweep,L,58.51,9.55,92.45,0.00,0.00,0.00,,15.00,15.00
10,17,3,42,,,保鲜盒#144d11b9-4150-48cc-93a2-7be151f3cd7b,sweep,Q,94.45,20.70,53.82,0.00,0.00,0.00,,17.00,11.50
