num,combo,rep,seed,tag,tagseq,香蕉_mode,香蕉_cell,香蕉_cx,香蕉_cy,香蕉_ang,香蕉_z,香蕉_pitch,香蕉_roll,香蕉_color,香蕉_w,香蕉_h,盘子_mode,盘子_cell,盘子_cx,盘子_cy,盘子_ang,盘子_z,盘子_pitch,盘子_roll,盘子_color,盘子_w,盘子_h
1,6,1,42,,,sweep,A,7.82,40.75,155.48,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,25.14,10.38,-11.87,0.00,0.00,0.00,#3498DB,15.00,15.00
2,177,3,42,,,sweep,J,71.30,39.49,70.25,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,O,81.64,11.69,58.83,0.00,0.00,0.00,#3498DB,15.00,15.00
3,24,3,42,,,sweep,B,17.41,26.83,-165.62,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,36.66,14.69,-148.67,0.00,0.00,0.00,#3498DB,15.00,15.00
4,77,3,42,,,sweep,E,35.41,22.95,143.34,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,E,20.08,18.51,139.14,0.00,0.00,0.00,#3498DB,15.00,15.00
5,279,3,42,,,sweep,P,95.96,30.54,-25.36,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,I,47.33,12.09,-61.71,0.00,0.00,0.00,#3498DB,15.00,15.00
6,78,2,42,,,sweep,E,32.32,28.05,92.71,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,18.56,10.55,-128.51,0.00,0.00,0.00,#3498DB,15.00,15.00
7,181,1,42,,,sweep,K,63.84,15.45,143.89,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,A,13.16,35.24,-15.07,0.00,0.00,0.00,#3498DB,15.00,15.00
8,81,3,42,,,sweep,E,23.34,24.53,-44.31,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,I,39.98,9.19,91.50,0.00,0.00,0.00,#3498DB,15.00,15.00
9,299,3,42,,,sweep,Q,102.19,16.14,-39.50,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,K,67.32,20.66,-144.75,0.00,0.00,0.00,#3498DB,15.00,15.00
10,18,2,42,,,sweep,A,8.37,39.22,-157.39,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,R,92.75,14.53,-157.93,0.00,0.00,0.00,#3498DB,15.00,15.00
11,107,1,42,,,sweep,F,31.25,7.77,13.28,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,97.72,29.24,-41.71,0.00,0.00,0.00,#3498DB,15.00,15.00
12,212,2,42,,,sweep,L,71.30,14.00,-26.95,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,N,90.82,21.49,112.93,0.00,0.00,0.00,#3498DB,15.00,15.00
13,276,3,42,,,sweep,P,94.83,32.50,140.51,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,33.93,14.58,-54.91,0.00,0.00,0.00,#3498DB,15.00,15.00
14,231,3,42,,,sweep,M,77.26,38.42,-5.03,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,O,83.55,9.55,-18.36,0.00,0.00,0.00,#3498DB,15.00,15.00
15,233,1,42,,,sweep,M,87.81,34.26,-113.74,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,98.85,15.30,-94.67,0.00,0.00,0.00,#3498DB,15.00,15.00
16,78,1,42,,,sweep,E,26.97,29.62,-105.51,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,32.97,10.33,92.81,0.00,0.00,0.00,#3498DB,15.00,15.00
17,125,1,42,,,sweep,G,37.35,34.12,-39.61,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,98.95,18.28,-28.17,0.00,0.00,0.00,#3498DB,15.00,15.00
18,198,1,42,,,sweep,K,68.89,23.86,-123.23,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,R,99.53,12.61,-59.66,0.00,0.00,0.00,#3498DB,15.00,15.00
19,108,1,42,,,sweep,F,36.26,10.17,-2.30,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,R,99.08,10.13,164.30,0.00,0.00,0.00,#3498DB,15.00,15.00
20,154,1,42,,,sweep,I,47.22,4.79,86.07,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,J,66.00,31.15,39.94,0.00,0.00,0.00,#3498DB,15.00,15.00
21,116,1,42,,,sweep,G,40.93,41.22,73.51,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,H,48.51,22.63,72.01,0.00,0.00,0.00,#3498DB,15.00,15.00
22,107,3,42,,,sweep,F,31.71,5.08,76.26,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,97.27,28.14,-76.57,0.00,0.00,0.00,#3498DB,15.00,15.00
23,63,2,42,,,sweep,D,25.10,37.02,179.47,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,I,38.52,13.71,-171.87,0.00,0.00,0.00,#3498DB,15.00,15.00
24,215,3,42,,,sweep,L,66.25,3.68,-175.44,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,97.44,25.53,132.24,0.00,0.00,0.00,#3498DB,15.00,15.00
25,106,1,42,,,sweep,F,32.10,5.22,-41.47,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,P,98.87,33.25,-60.76,0.00,0.00,0.00,#3498DB,15.00,15.00
26,219,2,42,,,sweep,M,84.26,41.66,177.43,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,C,17.03,13.96,-86.31,0.00,0.00,0.00,#3498DB,15.00,15.00
27,52,1,42,,,sweep,C,5.33,12.61,126.51,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,P,92.14,34.30,-72.40,0.00,0.00,0.00,#3498DB,15.00,15.00
28,53,2,42,,,sweep,C,15.95,4.37,-117.63,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,Q,99.90,26.11,-80.19,0.00,0.00,0.00,#3498DB,15.00,15.00
29,300,2,42,,,sweep,Q,97.28,20.22,-6.98,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,L,63.89,9.90,-10.81,0.00,0.00,0.00,#3498DB,15.00,15.00
30,231,2,42,,,sweep,M,80.15,40.60,-140.14,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,O,79.80,13.82,-25.72,0.00,0.00,0.00,#3498DB,15.00,15.00
31,208,3,42,,,sweep,L,60.56,9.55,-40.56,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,J,72.81,33.26,113.26,0.00,0.00,0.00,#3498DB,15.00,15.00
32,294,2,42,,,sweep,Q,94.42,26.24,45.02,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,F,26.29,14.65,81.54,0.00,0.00,0.00,#3498DB,15.00,15.00
33,3,1,42,,,sweep,A,10.61,30.66,10.07,0.00,0.00,0.00,#F39C12,5.00,5.00,sweep,C,15.28,10.33,90.44,0.00,0.00,0.00,#3498DB,15.00,15.00
